Ticker,Description,Sector,Industry,Market Capitalization
NHTC,Natural Health Trends Corp. - Commn Stock,Consumer Non-Durables,Household/Personal Care,82359833
IFF,"Internationa Flavors & Fragrances, Inc.",Consumer Non-Durables,Household/Personal Care,33760160628
USNA,"USANA Health Sciences, Inc.",Consumer Non-Durables,Household/Personal Care,1799703788
PG,Procter & Gamble Company (The),Consumer Non-Durables,Household/Personal Care,348584722389.0001
REYN,Reynolds Consumer Products Inc.,Consumer Non-Durables,Household/Personal Care,5745292686
UG,"United-Guardian, Inc.",Consumer Non-Durables,Household/Personal Care,65005096
ELF,"e.l.f. Beauty, Inc.",Consumer Non-Durables,Household/Personal Care,1512805539
EPC,Edgewell Personal Care Company,Consumer Non-Durables,Household/Personal Care,1957077850
OBCI,"Ocean Bio-Chem, Inc.",Consumer Non-Durables,Household/Personal Care,92391678
JUPW,"Jupiter Wellness, Inc.",Consumer Non-Durables,Household/Personal Care,33474100.00000001
CLX,Clorox Company (The),Consumer Non-Durables,Household/Personal Care,20210120118
KMB,Kimberly-Clark Corporation,Consumer Non-Durables,Household/Personal Care,44785991529
CHD,"Church & Dwight Company, Inc.",Consumer Non-Durables,Household/Personal Care,20375175363.999996
ENR,"Energizer Holdings, Inc.",Consumer Non-Durables,Household/Personal Care,2633678955
REV,"Revlon, Inc. New",Consumer Non-Durables,Household/Personal Care,557452190
COTY,Coty Inc.,Consumer Non-Durables,Household/Personal Care,6536687701
RVIV,Reviv3 Procare Co.,Consumer Non-Durables,Household/Personal Care,11035962
IPAR,"Inter Parfums, Inc.",Consumer Non-Durables,Household/Personal Care,2256365283
DSEY,"Diversey Holdings, Ltd.",Consumer Non-Durables,Household/Personal Care,4940823201
ZKIN,"ZK International Group Co., Ltd",Producer Manufacturing,Industrial Conglomerates,75889233
HI,Hillenbrand Inc,Producer Manufacturing,Industrial Conglomerates,3017945667.9999995
HON,Honeywell International Inc.,Producer Manufacturing,Industrial Conglomerates,151328609119.00003
NL,"NL Industries, Inc.",Producer Manufacturing,Industrial Conglomerates,286960084
GLXZ,"Galaxy Gaming, Inc.",Producer Manufacturing,Industrial Conglomerates,94296047.99999999
RLX,RLX Technology Inc.,Producer Manufacturing,Industrial Conglomerates,7084265830
BBIG,"Vinco Ventures, Inc.",Producer Manufacturing,Industrial Conglomerates,614801460
IEP,Icahn Enterprises L.P. - Depositary,Producer Manufacturing,Industrial Conglomerates,13226562500
TT,Trane Technologies plc,Producer Manufacturing,Industrial Conglomerates,43539420155
NWL,Newell Brands Inc.,Producer Manufacturing,Industrial Conglomerates,10069217887.999998
SPXC,SPX Corporation,Producer Manufacturing,Industrial Conglomerates,2480670270
MMM,3M Company,Producer Manufacturing,Industrial Conglomerates,104756663922.99998
WRAP,"Wrap Technologies, Inc.",Producer Manufacturing,Industrial Conglomerates,249342950
AGS,"PlayAGS, Inc.",Producer Manufacturing,Industrial Conglomerates,293408051
IDTA,Identa Corp.,Producer Manufacturing,Industrial Conglomerates,4571515.84946237
CFX,Colfax Corporation,Producer Manufacturing,Industrial Machinery,6891940918.999999
MEEC,Midwest Energy Emissions Corp.,Producer Manufacturing,Industrial Machinery,56894295.99999999
DOV,Dover Corporation,Producer Manufacturing,Industrial Machinery,23301822735.000004
TGEN,Tecogen Inc,Producer Manufacturing,Industrial Machinery,44978972.00000001
NPO,EnPro Industries Inc,Producer Manufacturing,Industrial Machinery,1763085837
WLMS,Williams Industrial Services Group Inc.,Producer Manufacturing,Industrial Machinery,111436666.00000001
CIR,"CIRCOR International, Inc.",Producer Manufacturing,Industrial Machinery,676643687
CECE,CECO Environmental Corp.,Producer Manufacturing,Industrial Machinery,248610403.99999997
BWMG,"Brownie's Marine Group, Inc.",Producer Manufacturing,Industrial Machinery,14431452
LECO,"Lincoln Electric Holdings, Inc.",Producer Manufacturing,Industrial Machinery,7907325493
PFIN,"P & F Industries, Inc.",Producer Manufacturing,Industrial Machinery,21441866
HURC,"Hurco Companies, Inc.",Producer Manufacturing,Industrial Machinery,211244980
GGG,Graco Inc.,Producer Manufacturing,Industrial Machinery,12474310385
ITT,ITT Inc.,Producer Manufacturing,Industrial Machinery,7383936053
TOMZ,"TOMI Environmental Solutions, Inc.",Producer Manufacturing,Industrial Machinery,28075227
VTSI,"VirTra, Inc.",Producer Manufacturing,Industrial Machinery,111287694
TPCS,Techprecision Corp.,Producer Manufacturing,Industrial Machinery,57522393.99999999
GRC,Gorman-Rupp Company (The),Producer Manufacturing,Industrial Machinery,949180890.9999998
RBC,Regal Beloit Corporation,Producer Manufacturing,Industrial Machinery,5824968160
DSWL,"Deswell Industries, Inc.",Producer Manufacturing,Industrial Machinery,64615871
EPAC,Enerpac Tool Group Corp.,Producer Manufacturing,Industrial Machinery,1388873139
KULR,"KULR Technology Group, Inc.",Producer Manufacturing,Industrial Machinery,225776808
NDSN,Nordson Corporation,Producer Manufacturing,Industrial Machinery,14173558870.999998
JBT,John Bean Technologies Corporation,Producer Manufacturing,Industrial Machinery,4836231805
CVAT,"Cavitation Technologies, Inc.",Producer Manufacturing,Industrial Machinery,17729813
SKYT,"SkyWater Technology, Inc.",Producer Manufacturing,Industrial Machinery,1176088855
NISN,"NiSun Intl Enterprise Development Group Co, Ltd",Producer Manufacturing,Industrial Machinery,237617288.99999997
FLOW,"SPX FLOW, Inc.",Producer Manufacturing,Industrial Machinery,3212989657
KRNT,Kornit Digital Ltd.,Producer Manufacturing,Industrial Machinery,7446521926.000001
GE,General Electric Company,Producer Manufacturing,Industrial Machinery,113937406327.99998
SMIT,"Schmitt Industries, Inc.",Producer Manufacturing,Industrial Machinery,16774203
ACMR,"ACM Research, Inc.",Producer Manufacturing,Industrial Machinery,1925229798.0000005
SNRG,Susglobal Energy Corp.,Producer Manufacturing,Industrial Machinery,20303835
PRLB,"Proto Labs, Inc.",Producer Manufacturing,Industrial Machinery,1987136913
ELSE,"Electro-Sensors, Inc.",Producer Manufacturing,Industrial Machinery,18066720
RPID,"Rapid Micro Biosystems, Inc.",Producer Manufacturing,Industrial Machinery,748514330
ASYS,"Amtech Systems, Inc.",Producer Manufacturing,Industrial Machinery,166908217
PPIH,"Perma-Pipe International Holdings, Inc.",Producer Manufacturing,Industrial Machinery,63526349
IEX,IDEX Corporation,Producer Manufacturing,Industrial Machinery,16467274425
XYL,Xylem Inc.,Producer Manufacturing,Industrial Machinery,24433704419
AAON,"AAON, Inc.",Producer Manufacturing,Industrial Machinery,3504761727
TNC,Tennant Company,Producer Manufacturing,Industrial Machinery,1369580285
PH,Parker-Hannifin Corporation,Producer Manufacturing,Industrial Machinery,37160558140
TKOI,"Telkonet, Inc.",Producer Manufacturing,Industrial Machinery,4089340
BHTG,"BioHiTech Global, Inc.",Producer Manufacturing,Industrial Machinery,41748000
BMI,"Badger Meter, Inc.",Producer Manufacturing,Industrial Machinery,3115163844
MEC,"Mayville Engineering Company, Inc.",Producer Manufacturing,Industrial Machinery,405832608.99999994
OFLX,"Omega Flex, Inc.",Producer Manufacturing,Industrial Machinery,1477001299
IR,Ingersoll Rand Inc.,Producer Manufacturing,Industrial Machinery,22482483481
SOTK,Sono-Tek Corporation,Producer Manufacturing,Industrial Machinery,57839989.99999999
VJET,voxeljet AG,Producer Manufacturing,Industrial Machinery,58321703
MKFG,Markforged Holding Corporation,Producer Manufacturing,Industrial Machinery,1385683814
FELE,"Franklin Electric Co., Inc.",Producer Manufacturing,Industrial Machinery,3820461875
GTLS,"Chart Industries, Inc.",Producer Manufacturing,Industrial Machinery,7255483288.999999
CARR,Carrier Global Corporation,Producer Manufacturing,Industrial Machinery,46092295050
AIMC,Altra Industrial Motion Corp.,Producer Manufacturing,Industrial Machinery,3564128899
HLIO,"Helios Technologies, Inc.",Producer Manufacturing,Industrial Machinery,2859726885
BGRY,"Berkshire Grey, Inc.",Producer Manufacturing,Industrial Machinery,1726306422.0000002
MWA,MUELLER WATER PRODUCTS,Producer Manufacturing,Industrial Machinery,2505251849
VWTR,"Vidler Water Resources, Inc.",Producer Manufacturing,Industrial Machinery,210541201
FLS,Flowserve Corporation,Producer Manufacturing,Industrial Machinery,4623026524
KAI,Kadant Inc,Producer Manufacturing,Industrial Machinery,2526359403
MKSI,"MKS Instruments, Inc.",Producer Manufacturing,Industrial Machinery,8503548107
XONE,The ExOne Company,Producer Manufacturing,Industrial Machinery,524792567.00000006
GTES,Gates Industrial Corporation plc,Producer Manufacturing,Industrial Machinery,4821240734.000001
PCSA,"Processa Pharmaceuticals, Inc.",Producer Manufacturing,Industrial Machinery,123276386.00000001
NNDM,Nano Dimension Ltd.,Producer Manufacturing,Industrial Machinery,1531240966
MIDD,The Middleby Corporation,Producer Manufacturing,Industrial Machinery,9666199102.000002
KMT,Kennametal Inc.,Producer Manufacturing,Industrial Machinery,2947068519
ITW,Illinois Tool Works Inc.,Producer Manufacturing,Industrial Machinery,68014148354.99998
AMAT,"Applied Materials, Inc.",Producer Manufacturing,Industrial Machinery,128143615017.00002
SEII,Sharing Economy International Inc.,Producer Manufacturing,Industrial Machinery,2711380
LXFR,Luxfer Holdings PLC,Producer Manufacturing,Industrial Machinery,553024285
GTEC,Greenland Technologies Holding Corporation,Producer Manufacturing,Industrial Machinery,73230341.99999999
GHM,Graham Corporation,Producer Manufacturing,Industrial Machinery,135887834
CMT,Core Molding Technologies Inc,Producer Manufacturing,Industrial Machinery,98419926
RXN,Rexnord Corporation,Producer Manufacturing,Industrial Machinery,7685346158
WTS,"Watts Water Technologies, Inc.",Producer Manufacturing,Industrial Machinery,5739769571.999999
GENC,Gencor Industries Inc.,Producer Manufacturing,Industrial Machinery,162835546
TAYD,"Taylor Devices, Inc.",Producer Manufacturing,Industrial Machinery,39688280.52793665
BWEN,"Broadwind, Inc.",Producer Manufacturing,Industrial Machinery,52533517
WBT,"Welbilt, Inc.",Producer Manufacturing,Industrial Machinery,3343033852.0000005
KLIC,"Kulicke and Soffa Industries, Inc.",Producer Manufacturing,Industrial Machinery,4079387105
ADES,"Advanced Emissions Solutions, Inc.",Producer Manufacturing,Industrial Machinery,117267439.99999999
WWD,"Woodward, Inc.",Producer Manufacturing,Industrial Machinery,7246907899
B,"Barnes Group, Inc.",Producer Manufacturing,Industrial Machinery,2147428253.9999995
DDD,3D Systems Corporation,Producer Manufacturing,Industrial Machinery,3650615788
SGSI,"Spectrum Global Solutions, Inc.",Producer Manufacturing,Industrial Machinery,11606872
LQMT,"Liquidmetal Technologies, Inc.",Process Industries,Industrial Specialties,93548233
VIEW,"View, Inc.",Process Industries,Industrial Specialties,1319826448
KRA,Kraton Corporation,Process Industries,Industrial Specialties,1334790627
LAKE,"Lakeland Industries, Inc.",Process Industries,Industrial Specialties,164465591
EML,Eastern Company (The),Process Industries,Industrial Specialties,152045490
DCI,"Donaldson Company, Inc.",Process Industries,Industrial Specialties,7556432180
CSWI,"CSW Industrials, Inc.",Process Industries,Industrial Specialties,1974956791.0000005
CCF,Chase Corporation,Process Industries,Industrial Specialties,985178649
WDFC,WD-40 Company,Process Industries,Industrial Specialties,3133321299.0000005
LDL,"Lydall, Inc.",Process Industries,Industrial Specialties,1117945705.0000002
CTIB,Yunhong CTI Ltd.,Process Industries,Industrial Specialties,11773500
ASPN,"Aspen Aerogels, Inc.",Process Industries,Industrial Specialties,1513306394
FOE,Ferro Corporation,Process Industries,Industrial Specialties,1683859442
RPM,RPM International Inc.,Process Industries,Industrial Specialties,10280553964
CLMT,"Calumet Specialty Products Partners, L.P.",Process Industries,Industrial Specialties,596366059
CC,Chemours Company (The),Process Industries,Industrial Specialties,4512271715
TSE,Trinseo S.A.,Process Industries,Industrial Specialties,2041178876.9999995
ATC,Atotech Limited,Process Industries,Industrial Specialties,4696063614
FUL,H. B. Fuller Company,Process Industries,Industrial Specialties,3453572727.0000005
EVA,"Enviva Partners, LP",Process Industries,Industrial Specialties,2451139970.0000005
CBT,Cabot Corporation,Process Industries,Industrial Specialties,2839012815
GCP,GCP Applied Technologies Inc.,Process Industries,Industrial Specialties,1630610194.0000002
OLN,Olin Corporation,Process Industries,Industrial Specialties,7901151680.000001
NTIC,Northern Technologies International Corporation,Process Industries,Industrial Specialties,150768199
SKVI,"Skinvisible, Inc.",Process Industries,Industrial Specialties,544781
PPG,"PPG Industries, Inc.",Process Industries,Industrial Specialties,35266441484
GSM,Ferroglobe PLC,Process Industries,Industrial Specialties,1641045253.0000002
SHW,Sherwin-Williams Company (The),Process Industries,Industrial Specialties,78093693039.99998
AXTA,Axalta Coating Systems Ltd.,Process Industries,Industrial Specialties,6858795216
NEWR,"New Relic, Inc.",Technology Services,Information Technology Services,4943347522
NEON,Neonode Inc.,Technology Services,Information Technology Services,94468107
LDOS,"Leidos Holdings, Inc.",Technology Services,Information Technology Services,13413301330.999998
IBM,International Business Machines Corporation,Technology Services,Information Technology Services,123235051122.00002
TZOO,Travelzoo,Technology Services,Information Technology Services,134522217.00000003
RSKD,Riskified Ltd.,Technology Services,Information Technology Services,4107000589.000001
SPLK,Splunk Inc.,Technology Services,Information Technology Services,24412799242
TTEC,"TTEC Holdings, Inc.",Technology Services,Information Technology Services,4463136270
MOMO,Hello Group Inc.,Technology Services,Information Technology Services,2167243425
MODN,"Model N, Inc.",Technology Services,Information Technology Services,1221665882.0000002
TGCB,Tego Cyber Inc.,Technology Services,Information Technology Services,
RMNI,"Rimini Street, Inc.",Technology Services,Information Technology Services,840487215.9999999
UIS,Unisys Corporation New,Technology Services,Information Technology Services,1691318954.0000002
BLIN,"Bridgeline Digital, Inc.",Technology Services,Information Technology Services,35504966
VMW,"Vmware, Inc.",Technology Services,Information Technology Services,60953551025
CNXN,"PC Connection, Inc.",Technology Services,Information Technology Services,1183342047
MLNK,"MeridianLink, Inc.",Technology Services,Information Technology Services,1869439468.0000005
RMBL,"RumbleOn, Inc.",Technology Services,Information Technology Services,534905722.99999994
NET,"Cloudflare, Inc.",Technology Services,Information Technology Services,40728411592
Z,"Zillow Group, Inc.",Technology Services,Information Technology Services,22964503273
IDEX,"Ideanomics, Inc.",Technology Services,Information Technology Services,982011411.9999998
SSNT,"SilverSun Technologies, Inc.",Technology Services,Information Technology Services,32974254.00000001
FSLY,"Fastly, Inc.",Technology Services,Information Technology Services,4901864043
BOX,"Box, Inc.",Technology Services,Information Technology Services,3825038083.999999
NTGR,"NETGEAR, Inc.",Technology Services,Information Technology Services,993277578.9999998
CRTD,Creatd Inc.,Technology Services,Information Technology Services,38282184
MAXR,Maxar Technologies Inc.,Technology Services,Information Technology Services,2133559836.9999995
MAX,"MediaAlpha, Inc.",Technology Services,Information Technology Services,1190476731
QUBT,Quantum Computing Inc.,Technology Services,Information Technology Services,199141041
SFOR,"Strikeforce Technologies, Inc.",Technology Services,Information Technology Services,72373851
CERN,Cerner Corporation,Technology Services,Information Technology Services,21571853802.000004
NSIT,"Insight Enterprises, Inc.",Technology Services,Information Technology Services,3174669165.0000005
DAVA,Endava plc,Technology Services,Information Technology Services,6674560287
CDW,CDW Corporation,Technology Services,Information Technology Services,26544874743
QADA,QAD Inc.,Technology Services,Information Technology Services,1834409760.9999995
UPLD,"Upland Software, Inc.",Technology Services,Information Technology Services,1112516599.9999998
MNTV,Momentive Global Inc.,Technology Services,Information Technology Services,2841101304.9999995
NDVN,nDivision Inc.,Technology Services,Information Technology Services,13721481
INPX,Inpixon,Technology Services,Information Technology Services,101410159
FDCT,"FDCTech, Inc.",Technology Services,Information Technology Services,9953883
MFON,Mobivity Holdings Corp.,Technology Services,Information Technology Services,88103005.99999999
TAOP,Taoping Inc.,Technology Services,Information Technology Services,39342856
VRNT,Verint Systems Inc.,Technology Services,Information Technology Services,2997172344
XNET,Xunlei Limited,Technology Services,Information Technology Services,190772143
NOW,"ServiceNow, Inc.",Technology Services,Information Technology Services,131996014583.00002
JNPR,"Juniper Networks, Inc.",Technology Services,Information Technology Services,9276581789
CPSI,"Computer Programs and Systems, Inc.",Technology Services,Information Technology Services,520166160.00000006
EVOL,"Evolving Systems, Inc.",Technology Services,Information Technology Services,25433786
PRO,"PROS Holdings, Inc.",Technology Services,Information Technology Services,1737870045
CSCO,"Cisco Systems, Inc.",Technology Services,Information Technology Services,239272152264
BKYI,"BIO-key International, Inc.",Technology Services,Information Technology Services,27465649
OSPN,OneSpan Inc.,Technology Services,Information Technology Services,757969068
RPD,"Rapid7, Inc.",Technology Services,Information Technology Services,6785501275
XELA,"Exela Technologies, Inc.",Technology Services,Information Technology Services,288082642
SCTC,SCOUTCAM INC.,Technology Services,Information Technology Services,66513854.50628366
SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,Technology Services,Information Technology Services,4935724252
BTRS,BTRS Holdings Inc. - Class 1,Technology Services,Information Technology Services,1677340749.9999998
VRNS,"Varonis Systems, Inc.",Technology Services,Information Technology Services,7228637790
TSSI,"TSS, Inc.",Technology Services,Information Technology Services,11223603
WK,Workiva Inc.,Technology Services,Information Technology Services,7615986649.000001
CSPI,CSP Inc.,Technology Services,Information Technology Services,38915672
RIII,Renavotio Inc.,Technology Services,Information Technology Services,6409693
QTWO,"Q2 Holdings, Inc.",Technology Services,Information Technology Services,4941159815
MTBC,"CareCloud, Inc.",Technology Services,Information Technology Services,118955608
TRIQ,"TraqIQ, Inc.",Technology Services,Information Technology Services,29541596
CTG,"Computer Task Group, Incorporated",Technology Services,Information Technology Services,123543933
FIVN,"Five9, Inc.",Technology Services,Information Technology Services,11666472052
VTEX,VTEX,Technology Services,Information Technology Services,4501771321
PEGA,Pegasystems Inc.,Technology Services,Information Technology Services,10811611157.999998
SYSX,Sysorex Inc.,Technology Services,Information Technology Services,200282633
CLPS,CLPS Incorporation,Technology Services,Information Technology Services,54599152
SSNC,"SS&C Technologies Holdings, Inc.",Technology Services,Information Technology Services,18077297688
BTCS,BTCS Inc.,Technology Services,Information Technology Services,144049754
ACN,Accenture plc,Technology Services,Information Technology Services,215118164658
NTCT,"NetScout Systems, Inc.",Technology Services,Information Technology Services,2028463089.0000005
SRAD,Sportradar Group AG,Technology Services,Information Technology Services,5335665860
SREV,"ServiceSource International, Inc.",Technology Services,Information Technology Services,134089764
QGSI,QuantGate Systems Inc.,Technology Services,Information Technology Services,50684729
MITK,"Mitek Systems, Inc.",Technology Services,Information Technology Services,847023111
FEYE,"FireEye, Inc.",Technology Services,Information Technology Services,4350899857
MDXL,"MediXall Group, Inc.",Technology Services,Information Technology Services,159666031
STRM,"Streamline Health Solutions, Inc.",Technology Services,Information Technology Services,82566433
GDYN,"Grid Dynamics Holdings, Inc.",Technology Services,Information Technology Services,1967081713.9999995
CTEK,"CynergisTek, Inc.",Technology Services,Information Technology Services,22544498
SQSP,"Squarespace, Inc.",Technology Services,Information Technology Services,5718447363.999999
EPAM,"EPAM Systems, Inc.",Technology Services,Information Technology Services,35647178064
MDRX,"Allscripts Healthcare Solutions, Inc.",Technology Services,Information Technology Services,1712648816
CTSH,Cognizant Technology Solutions Corporation,Technology Services,Information Technology Services,40796853621
CACI,"CACI International, Inc.",Technology Services,Information Technology Services,6025289088.999999
IAIC,"Information Analysis, Inc.",Technology Services,Information Technology Services,34932504.00000001
OMCL,"Omnicell, Inc.",Technology Services,Information Technology Services,6705914953.000001
TRU,TransUnion,Technology Services,Information Technology Services,22265704357
WIX,Wix.com Ltd.,Technology Services,Information Technology Services,11670103697.000002
WDAY,"Workday, Inc.",Technology Services,Information Technology Services,66033778198
HUBS,"HubSpot, Inc.",Technology Services,Information Technology Services,34414504702
DMRC,Digimarc Corporation,Technology Services,Information Technology Services,614914369.9999999
KOAN,Resonate Blends Inc.,Technology Services,Information Technology Services,17796436
SQ,"Square, Inc.",Technology Services,Information Technology Services,120822773890
ANY,Sphere 3D Corp.,Technology Services,Information Technology Services,345798531.00000006
ALRM,"Alarm.com Holdings, Inc.",Technology Services,Information Technology Services,4093042630.999999
APPF,"AppFolio, Inc.",Technology Services,Information Technology Services,4555794495
ATEN,"A10 Networks, Inc.",Technology Services,Information Technology Services,1122946205
VIAV,Viavi Solutions Inc.,Technology Services,Information Technology Services,3580167258
GLOB,Globant S.A.,Technology Services,Information Technology Services,13393244120.999998
NXGN,"NextGen Healthcare, Inc.",Technology Services,Information Technology Services,978335947.9999998
MFH,Mercurity Fintech Holding Inc.,Technology Services,Information Technology Services,24020859
BRQS,"Borqs Technologies, Inc.",Technology Services,Information Technology Services,58843155.00000001
PSN,Parsons Corporation,Technology Services,Information Technology Services,3485094681
NTWK,NETSOL Technologies Inc.,Technology Services,Information Technology Services,44096052
GWRE,"Guidewire Software, Inc.",Technology Services,Information Technology Services,10035112132
ACCD,"Accolade, Inc.",Technology Services,Information Technology Services,2845135581.9999995
PDFS,"PDF Solutions, Inc.",Technology Services,Information Technology Services,882360420
MTC,"MMTec, Inc.",Technology Services,Information Technology Services,30646402
DUOT,"Duos Technologies Group, Inc.",Technology Services,Information Technology Services,22483705
DOX,Amdocs Limited,Technology Services,Information Technology Services,9808932841
KBR,"KBR, Inc.",Technology Services,Information Technology Services,5430028699.999999
MGTI,"MGT Capital Investments, Inc.",Technology Services,Information Technology Services,16103796
SSFT,Sonasoft Corp.,Technology Services,Information Technology Services,26896878
DTST,Data Storage Corporation,Technology Services,Information Technology Services,31279407
JKHY,"Jack Henry & Associates, Inc.",Technology Services,Information Technology Services,12684519670.999998
SWCH,"Switch, Inc.",Technology Services,Information Technology Services,6340130593
KNBE,"KnowBe4, Inc.",Technology Services,Information Technology Services,4064405294
GOCO,"GoHealth, Inc.",Finance,Insurance Brokers/Services,1652251567.9999998
SUND,Sundance Strategies Inc.,Finance,Insurance Brokers/Services,289159085.8638744
ESGR,Enstar Group Limited,Finance,Insurance Brokers/Services,4770627268
CRD.A,Crawford & Company,Finance,Insurance Brokers/Services,483401482.99999994
MMC,"Marsh & McLennan Companies, Inc.",Finance,Insurance Brokers/Services,80786576758
WDH,Waterdrop Inc.,Finance,Insurance Brokers/Services,1064141646.9999998
KINS,"Kingstone Companies, Inc",Finance,Insurance Brokers/Services,72047461
WLTW,Willis Towers Watson Public Limited Company,Finance,Insurance Brokers/Services,30173832182
ROOT,"Root, Inc.",Finance,Insurance Brokers/Services,1458748841
AJG,Arthur J. Gallagher & Co.,Finance,Insurance Brokers/Services,31847768612
HUIZ,Huize Holding Limited,Finance,Insurance Brokers/Services,117029660
TIRX,TIAN RUIXIANG Holdings Ltd,Finance,Insurance Brokers/Services,30684999
TIG,"Trean Insurance Group, Inc.",Finance,Insurance Brokers/Services,529137548.00000006
BRO,"Brown & Brown, Inc.",Finance,Insurance Brokers/Services,16361373051
CRVL,CorVel Corp.,Finance,Insurance Brokers/Services,3325813767
RYAN,"Ryan Specialty Group Holdings, Inc.",Finance,Insurance Brokers/Services,3708156746
GSHD,"Goosehead Insurance, Inc.",Finance,Insurance Brokers/Services,5899989969.999999
AON,Aon plc,Finance,Insurance Brokers/Services,67536776882
CVX,Chevron Corporation,Energy Minerals,Integrated Oil,194551542972
CNX,CNX Resources Corporation,Energy Minerals,Integrated Oil,2536600931
ESTE,"Earthstone Energy, Inc.",Energy Minerals,Integrated Oil,735161920
TELL,Tellurian Inc.,Energy Minerals,Integrated Oil,1736955818
APA,APA Corporation,Energy Minerals,Integrated Oil,8282452002
COG,Cabot Oil & Gas Corporation,Energy Minerals,Integrated Oil,8129169575
SNMP,Evolve Transition Infrastructure LP,Energy Minerals,Integrated Oil,82659691
VEI,Vine Energy Inc.,Energy Minerals,Integrated Oil,1208419460
NFG,National Fuel Gas Company,Energy Minerals,Integrated Oil,4723184017
INDO,Indonesia Energy Corporation Limited,Energy Minerals,Integrated Oil,31409728.00000001
TDNT,Trident Brands Inc,Energy Minerals,Integrated Oil,1292475.92356688
DEN,Denbury Inc.,Energy Minerals,Integrated Oil,3714149707
CHK,Chesapeake Energy Corporation,Energy Minerals,Integrated Oil,5758271632
HESM,Hess Midstream LP,Energy Minerals,Integrated Oil,7876492059.000001
XOM,Exxon Mobil Corporation,Energy Minerals,Integrated Oil,243810893141
VKIN,"Viking Energy Group, Inc.",Energy Minerals,Integrated Oil,127365789.00000001
AXAS,Abraxas Petroleum Corp.,Energy Minerals,Integrated Oil,13475057
GDP,Goodrich Petroleum Corporation,Energy Minerals,Integrated Oil,284780531
AMPY,Amplify Energy Corp.,Energy Minerals,Integrated Oil,169448901
REPX,"Riley Exploration Permian, Inc.",Energy Minerals,Integrated Oil,431184995
FLMN,Falcon Minerals Corporation,Energy Minerals,Integrated Oil,407721547
CPPXF,Continental Energy Corp.,Energy Minerals,Integrated Oil,1659795.66666667
BCEI,"Bonanza Creek Energy, Inc.",Energy Minerals,Integrated Oil,1416889366
SOWG,SOW GOOD INC,Energy Minerals,Integrated Oil,14148195
VNOM,Viper Energy Partners LP,Energy Minerals,Integrated Oil,3247485883
WISH,ContextLogic Inc.,Retail Trade,Internet Retail,3473539989
RVLV,"Revolve Group, Inc.",Retail Trade,Internet Retail,5009079050.000001
SE,Sea Limited,Retail Trade,Internet Retail,187959003874
GRPN,"Groupon, Inc.",Retail Trade,Internet Retail,712427722
IPW,iPower Inc.,Retail Trade,Internet Retail,119812444
AKA,a.k.a. Brands Holding Corp.,Retail Trade,Internet Retail,1265901413
DLTH,Duluth Holdings Inc.,Retail Trade,Internet Retail,464773051.00000006
EBAY,eBay Inc.,Retail Trade,Internet Retail,47447570441.00001
LITB,"LightInTheBox Holding Co., Ltd.",Retail Trade,Internet Retail,164749490
BQ,Boqii Holding Limited,Retail Trade,Internet Retail,191821665
BZUN,Baozun Inc.,Retail Trade,Internet Retail,1502791464.2376583
HNST,"The Honest Company, Inc.",Retail Trade,Internet Retail,977649340
SAML,"Samsara Luggage, Inc.",Retail Trade,Internet Retail,3634367
CPNG,"Coupang, Inc.",Retail Trade,Internet Retail,49134416554
IMBI,"iMedia Brands, Inc.",Retail Trade,Internet Retail,123586852
TDUP,ThredUp Inc.,Retail Trade,Internet Retail,1979675831.0000005
OZON,Ozon Holdings PLC,Retail Trade,Internet Retail,10395618200
GLBE,Global-E Online Ltd.,Retail Trade,Internet Retail,10870650328.999998
REAL,"The RealReal, Inc.",Retail Trade,Internet Retail,1244403027
VIPS,Vipshop Holdings Limited,Retail Trade,Internet Retail,8087458708
RERE,AiHuiShou International Co. Ltd.,Retail Trade,Internet Retail,2273990018
FLWS,"1-800-FLOWERS.COM, Inc.",Retail Trade,Internet Retail,2210220448
LULU,lululemon athletica inc.,Retail Trade,Internet Retail,56158631331
MYTE,MYT Netherlands Parent B.V.,Retail Trade,Internet Retail,2485998633
WNW,Wunong Net Technology Company Limited,Retail Trade,Internet Retail,105499995
CHWY,"Chewy, Inc.",Retail Trade,Internet Retail,29172411439
BABA,Alibaba Group Holding Limited,Retail Trade,Internet Retail,402241321491.8703
WOOF,"Petco Health and Wellness Company, Inc.",Retail Trade,Internet Retail,5835566089.000001
MELI,"MercadoLibre, Inc.",Retail Trade,Internet Retail,92941889284
ETSY,"Etsy, Inc.",Retail Trade,Internet Retail,28207640092
PRTS,"CarParts.com, Inc.",Retail Trade,Internet Retail,829197591.0000001
TC,TuanChe Limited,Retail Trade,Internet Retail,52096601
DIBS,"1stdibs.com, Inc.",Retail Trade,Internet Retail,506361896.99999994
W,Wayfair Inc.,Retail Trade,Internet Retail,28530121593
MF,Missfresh Limited,Retail Trade,Internet Retail,1021859513
GIC,Global Industrial Company,Retail Trade,Internet Retail,1443057819.0000002
ACVA,ACV Auctions Inc.,Retail Trade,Internet Retail,3005345577.9999995
PDD,Pinduoduo Inc.,Retail Trade,Internet Retail,118498459959
QRTEA,Liberty Interactive Corporation - Series A QVC Group Common Stock,Retail Trade,Internet Retail,4256508689.999999
NEGG,"Newegg Commerce, Inc.",Retail Trade,Internet Retail,5439776563.999999
